row_num,nsn,mil_spec,nomenclature,tech_docs,solicitation,status,purchase_request,qty,issued,return_by
116,6210-01-508-6411,Mil-Spec,"FIXTURE, LIGHTING",Tech Docs \*Spec/Stnd Only,SPE4A6-26-T-08ZQ,Open,7017571431,39,07-23-2026,07-30-2026
117,0001S00000053,,CONTRACTOR FIRST ARTIC,None,SPE4A6-26-T-08ZQ,Open,7017571431,See Solicitation,07-23-2026,07-30-2026
118,5995-01-593-5500,,"WIRING HARNESS, BRANCHE",Tech Docs,SPE4A6-26-T-08ZS,Open,7017571423,2,07-23-2026,07-30-2026
119,0001S00000053,,CONTRACTOR FIRST ARTIC,None,SPE4A6-26-T-08ZS,Open,7017571423,See Solicitation,07-23-2026,07-30-2026
120,6210-01-671-4225,,"LIGHT, INDICATOR",None,SPE4A6-26-T-08ZT,Open,7017572683,13,07-23-2026,07-30-2026
121,5995-01-235-5163,,"CABLE ASSEMBLY, RADIO F",None,SPE4A6-26-T-08ZX,Open,7017522913,1,07-23-2026,07-30-2026
122,6240-00-538-0920,,"LAMP, INCANDESCENT",None,SPE4A6-26-T-09AE,Open,7017572056,245,07-23-2026,07-30-2026
123,5995-01-613-2420,,"CABLE ASSEMBLY, SPECIAL",None,SPE4A6-26-T-09AL,Open,7017571802,21,07-23-2026,07-30-2026
124,5995-01-651-2016,,"CABLE ASSEMBLY, SPEC",Tech Docs,SPE4A6-26-T-09AP,Open,7017571729,1,07-23-2026,07-30-2026
125,0001S00000061,,PRODUCTION LOT TESTING,None,SPE4A6-26-T-09AP,Open,7017571729,See Solicitation,07-23-2026,07-30-2026
126,6210-01-415-7615,,"INSERT, LEGEND, LIGHT",Tech Docs,SPE4A6-26-T-09AR,Open,7017572309,4,07-23-2026,07-30-2026
127,5995-01-505-6001,,"WIRING HARNESS, BRANCHE",Tech Docs,SPE4A6-26-T-09AS,Open,7017571388,3,07-23-2026,07-30-2026
128,0001S00000053,,CONTRACTOR FIRST ARTIC,None,SPE4A6-26-T-09AS,Open,7017571388,See Solicitation,07-23-2026,07-30-2026
129,5995-98-208-4196,,"CABLE ASSEMBLY, SPEC",None,SPE4A6-26-T-09AW,Open,7017040181,2,07-23-2026,07-30-2026
130,5995-01-620-6749,,"CABLE ASSEMBLY, SPEC",Tech Docs,SPE4A6-26-T-09BN,Open,7017540310,1,07-23-2026,07-30-2026
131,5995-01-116-9028,,"CABLE ASSEMBLY, REEL",None,SPE4A6-26-T-09CA,Open,7013312723,4,07-23-2026,07-30-2026
132,5995-01-116-9028,,"CABLE ASSEMBLY, REEL",None,SPE4A6-26-T-09CA,Open,7014365383,3,07-23-2026,07-30-2026
133,5995-01-678-0764,,"CABLE ASSEMBLY, SPEC",Tech Docs,SPE4A6-26-T-09CW,Open,7013233520,14,07-23-2026,07-30-2026
134,0001S00000053,,CONTRACTOR FIRST ARTIC,None,SPE4A6-26-T-09CW,Open,7013233520,See Solicitation,07-23-2026,07-30-2026
135,5995-01-496-3875,,"CABLE ASSEMBLY, SPECIAL",None,SPE4A6-26-T-09ER,Open,7017595345,12,07-23-2026,07-30-2026
136,5995-01-558-6342,,"CABLE ASSEMBLY, RADI",None,SPE4A7-26-T-592D,Open,7015852695,4,07-23-2026,07-30-2026
137,5340-01-168-5106,,"COVER, ACCESS",Tech Docs,SPE7L1-26-Q-1353,Open,7010782611,15,07-22-2026,08-06-2026
138,0001S00000052,,GOVERNMENT FIRST ARTIC,None,SPE7L1-26-Q-1353,Open,7010782611,See Solicitation,07-22-2026,08-06-2026
139,5340-01-669-5587,,"PAD, CUSHIONING",None,SPE7L1-26-T-861N,Open,7017574087,2,07-23-2026,08-03-2026
140,5340-01-592-2268,,"HANDLE, DOOR",None,SPE7L1-26-T-861V,Open,7017574116,1,07-23-2026,08-03-2026
141,5340-01-592-2267,,"HANDLE, DOOR",None,SPE7L1-26-T-861Y,Open,7017574115,1,07-23-2026,08-03-2026
